ID,曲名,作曲者,音響的な特徴,ダンスに適しているか,エネルギーの強さ,インストゥルメンタルか,キー,ライブ録音か,音量,モード,音声の存在,テンポ（BPM）,拍子記号,再生時間（ms）,ポジティブさ
1rr2DJOxV0sHXeUXCAz1yf,春泥棒,ヨルシカ,0.103,0.762,0.595,4.71e-05,5,0.115,-6.777,1,0.0445,125.047,4,290289,0.858
65LUiqfnSGLbOrUnAzXfpW,平行線,Eve,0.0316,0.642,0.663,0,1,0.116,-5.188,1,0.0331,120.984,4,275090,0.307
0XZyF9lv6diMt4bxThOL0h,勿忘,Awesome City Club,0.234,0.448,0.447,0,6,0.382,-7.161,0,0.045,78.861,4,251533,0.299
7dH0dpi751EoguDDg3xx6J,ドライフラワー,Yuuri,0.426,0.463,0.624,0,7,0.221,-5.118,1,0.0274,147.929,4,285587,0.521
37IPQgBkvbmH9JR5mlY6a8,魔法の絨毯,Takaya Kawasaki,0.774,0.599,0.309,0,10,0.122,-6.292,0,0.0507,72.285,4,212018,0.584
7D7GCO3CtDT1WDcj2W5VDV,ギラギラ,Ado,0.052,0.651,0.861,0,2,0.0878,-4.128,1,0.0568,96.014,4,276213,0.731
5D9MPWdY2hjSeTIGE5n5kv,ハルカ,YOASOBI,0.0717,0.712,0.817,7.21e-06,1,0.146,-5.123,1,0.0279,100.016,4,243613,0.679
6MCjmGYlw6mQVWRFVgBRvB,夜に駆ける,YOASOBI,0.00299,0.663,0.871,1.8e-06,8,0.337,-5.287,1,0.03,130.025,4,258840,0.826
465JzFiajJO59sUrDFsxdC,アンコール,YOASOBI,0.283,0.682,0.669,1e-06,2,0.145,-4.741,1,0.0275,81.999,4,271440,0.831
06XQvnJb53SUYmlWIhUXUi,怪物,YOASOBI,0.0699,0.627,0.824,6.57e-05,1,0.31,-3.419,1,0.118,169.935,4,206000,0.774
0QDjYBER1ZqISxA2Gc0cJe,春を告げる - From THE FIRST TAKE,yama,0.795,0.477,0.595,0,6,0.0601,-6.457,1,0.0425,101.692,4,300800,0.363
1o0B124GoZQKYTnqZnEYZq,追い風,SHE'S,0.0203,0.594,0.635,0,1,0.0836,-5.568,1,0.0483,121.92,4,257720,0.625
398dL22bDbKbAmiOnPaq7o,たぶん,YOASOBI,0.157,0.748,0.661,0.00102,5,0.101,-6.702,1,0.0334,90.003,4,256773,0.743
1m0RfmsLgUUf0AB1zyObXc,真っ白,yama,0.195,0.696,0.68,0,7,0.0833,-6.908,0,0.0263,133.958,4,287167,0.737
6q2anED2iLMVW1XvdZx5pQ,クリーム,yama,0.396,0.635,0.358,6.73e-05,1,0.239,-8.348,0,0.0609,139.927,4,218571,0.146
08YwAPnX8sygJUXG9rvhDv,ハルジオン,YOASOBI,0.0545,0.687,0.873,0,8,0.318,-3.852,1,0.0335,130.024,4,198600,0.884
5ptl2PXkiSth54HCuGO7vN,あの夢をなぞって,YOASOBI,0.334,0.534,0.794,0.00093,8,0.159,-3.738,1,0.0402,179.976,4,240747,0.711
4KcTqk3YtbJNVhvbhBDVw2,心予報,Eve,0.121,0.718,0.83,0,3,0.306,-3.21,1,0.0764,142.916,4,199995,0.755
1srR6pbN1YCtIulufVNeMZ,夜行,ヨルシカ,0.379,0.579,0.467,0.000158,1,0.158,-6.576,1,0.0323,170.038,4,202720,0.484
1zd35Y44Blc1CwwVbW3Qnk,群青,YOASOBI,0.305,0.725,0.853,0,10,0.115,-3.193,1,0.0516,134.991,4,248027,0.707
18nkY3pJTub8WwEGiQAGh4,不可幸力,Vaundy,0.0157,0.69,0.815,2.85e-06,11,0.0636,-5.227,0,0.0426,94.032,4,200243,0.613
5Ym4egUmT9wHEvZM2anGG8,napori,Vaundy,0.417,0.88,0.356,0,11,0.0997,-7.802,1,0.297,129.822,4,203787,0.468
2SihT7AVMiI2VtaAyVIcnO,恋人ごっこ,Macaroni Empitsu,0.124,0.438,0.646,0,1,0.0603,-5.301,1,0.0361,102.033,4,200219,0.745
5dPKxtaM1Zb4d7UV4fcQ0e,かくれんぼ - From THE FIRST TAKE,Yuuri,0.796,0.646,0.254,0,9,0.315,-9.449,1,0.0702,77.952,4,296498,0.543
5eXXJJuejAUkggSgIINU1V,きらきら,もさを。,0.376,0.688,0.753,0,11,0.232,-3.681,1,0.0302,105.016,4,180000,0.622
0Ic9yiyHCoRCSvPoqTagat,ピーターパン,Yuuri,0.0357,0.629,0.91,0,11,0.11,-3.463,0,0.0507,111.965,4,214587,0.426
0JTjZnuciQH4M3620aMDtZ,かくれんぼ,Yuuri,0.417,0.671,0.505,0,9,0.124,-7.575,1,0.0629,156.019,4,271093,0.311
0UWTRBGWfOp709f6rxd63R,ツキミソウ,Novelbright,0.413,0.481,0.611,0,6,0.255,-4.248,1,0.0354,155.788,4,307609,0.436
2T7ZvJAtL7xK04ww5rbmvo,世界の秘密,Vaundy,0.142,0.683,0.53,0,6,0.0978,-6.749,0,0.0614,159.969,4,221250,0.823
4W29WmnGN1FlufURaBt8yw,怪獣の花唄,Vaundy,0.00361,0.425,0.939,0,2,0.331,-3.498,1,0.054,150.015,4,224806,0.638
7Mfgvi0WG4y7YDxknVOIS9,a.m.3:21,yama,0.295,0.634,0.736,0.00011,5,0.215,-5.006,0,0.109,110.169,4,208409,0.752
