Feature1,Feature2,Best_k,Best_Score
音響的な特徴,ダンスに適しているか,12,0.6489795918367347
音響的な特徴,エネルギーの強さ,1,0.5877551020408164
音響的な特徴,インストゥルメンタルか,23,0.5469387755102041
音響的な特徴,キー,1,0.563265306122449
音響的な特徴,モード,22,0.5387755102040817
音響的な特徴,テンポ（BPM）,4,0.5510204081632653
音響的な特徴,ポジティブさ,5,0.563265306122449
ダンスに適しているか,エネルギーの強さ,10,0.7020408163265306
ダンスに適しているか,インストゥルメンタルか,30,0.6612244897959184
ダンスに適しているか,キー,30,0.6816326530612244
ダンスに適しているか,モード,18,0.636734693877551
ダンスに適しているか,テンポ（BPM）,27,0.6530612244897959
ダンスに適しているか,ポジティブさ,22,0.6571428571428571
エネルギーの強さ,インストゥルメンタルか,26,0.563265306122449
エネルギーの強さ,キー,16,0.5346938775510204
エネルギーの強さ,モード,30,0.5755102040816327
エネルギーの強さ,テンポ（BPM）,23,0.6
エネルギーの強さ,ポジティブさ,21,0.5714285714285714
インストゥルメンタルか,キー,17,0.5551020408163265
インストゥルメンタルか,モード,12,0.5469387755102041
インストゥルメンタルか,テンポ（BPM）,4,0.5673469387755102
インストゥルメンタルか,ポジティブさ,11,0.563265306122449
キー,モード,19,0.5387755102040817
キー,テンポ（BPM）,23,0.5428571428571428
キー,ポジティブさ,23,0.5714285714285714
モード,テンポ（BPM）,3,0.5183673469387755
モード,ポジティブさ,5,0.5877551020408164
テンポ（BPM）,ポジティブさ,30,0.5673469387755102
